species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
termam,Combretaceae,Terminalia,amazonia,Terminalia amazonia,Terminalia amazonia,NA,NA,NA,NA,NA,NA,300,tree,bisex,14,3.081821,3.622114,61
tet4jo,Salicaceae,Tetrathylacium,johansenii,Tetrathylacium johansenii,Tetrathylacium johansenii,NA,NA,NA,NA,NA,NA,300,tree,bisex,6,1.092934,1.140078,7
pse1se,Malvaceae,Pseudobombax,septenatum,Pseudobombax septenatum,Pseudobombax septenatum,NA,NA,NA,NA,NA,NA,400,tree,bisex,7,5.835537,5.889698,17
sloate,Elaeocarpaceae,Sloanea,terniflora,Sloanea terniflora,Sloanea terniflora,0.815,NA,34.1,54.1,0.017,0.0074,400,tree,bisex,10,4.55013,7.478956,573
cavapl,Malvaceae,Cavanillesia,platanifolia,Cavanillesia platanifolia,Cavanillesia platanifolia,NA,NA,NA,NA,NA,NA,500,tree,bisex,15,22.886953,23.26158,21
anacex,Anacardiaceae,Anacardium,excelsum,Anacardium excelsum,Anacardium excelsum,NA,NA,NA,NA,NA,NA,600,tree,bisex,22,34.057396,34.067535,25
ceibpe,Malvaceae,Ceiba,pentandra,Ceiba pentandra,Ceiba pentandra,NA,NA,NA,NA,NA,NA,600,tree,bisex,26,52.819394,53.75364,49
pri2co,Fabaceae-caesalpinioideae,Prioria,copaifera,Prioria copaifera,Prioria copaifera,0.391,22.869184,35.5,77.8,0.028,0.018,600,tree,bisex,74,46.052969,61.758895,1447
tachve,Fabaceae-caesalpinioideae,Tachigali,versicolor,Tachigali versicolor,Tachigali versicolor,0.582,0.105295,32.6,44.9,0.035,0.0316,700,tree,bisex,6,5.363311,11.763473,3027
annoac,Annonaceae,Annona,acuminata,Annona acuminata,Annona acuminata,0.645,0.027533,8.4,53,0.024,NA,10,understory,bisex,513,0.293296,0.295574,601
cou2cu,Rubiaceae,Coussarea,curvigemmia,Coussarea curvigemmia,Coussarea curvigemmia,0.622,0.018453,12.9,45.3,0.035,0.0083,30,understory,bisex,808,2.424944,2.772895,2126
des2pa,Annonaceae,Desmopsis,panamensis,Desmopsis panamensis,Desmopsis panamensis,0.536,0.108017,10.9,57.2,0.029,NA,30,understory,bisex,3139,5.842601,8.158279,12191
annoha,Annonaceae,Annona,hayesii,Annona hayesii,Annona hayesii,NA,NA,NA,NA,NA,NA,40,understory,bisex,1,0.003421,0.003421,1
cha2sc,Myrtaceae,Chamguava,schippii,Chamguava schippii,Chamguava schippii,NA,NA,12.7,66.9,0.035,NA,40,understory,bisex,65,0.201276,0.28941,333
quasam,Simaroubaceae,Quassia,amara,Quassia amara,Quassia amara,0.527,0.15068,7.3,53.3,0.024,NA,40,understory,bisex,82,0.312508,0.34905,145
swars2,Fabaceae-papilionoideae,Swartzia,simplex,Swartzia simplex continentalis,Swartzia simplex continentalis,0.784,0.849488,14.2,87.8,0.02,0.0044,40,understory,bisex,907,4.092239,5.007433,3069
tri1gi,Acanthaceae,Trichanthera,gigantea,Trichanthera gigantea,Trichanthera gigantea,NA,NA,NA,NA,NA,NA,40,understory,bisex,10,0.042931,0.044125,11
caseac,Salicaceae,Casearia,aculeata,Casearia aculeata,Casearia aculeata,0.69,0.002075,13.1,50.8,0.029,NA,50,understory,bisex,92,0.564739,0.74054,524
faraoc,Rubiaceae,Faramea,occidentalis,Faramea occidentalis,Faramea occidentalis,0.609,0.193216,15.7,63.7,0.04,0.0081,50,understory,bisex,8278,47.097472,58.437742,27927
myrcga,Myrtaceae,Myrcia,gatunensis,Myrcia gatunensis,Myrcia gatunensis,NA,NA,NA,NA,NA,NA,50,understory,bisex,9,0.143879,0.165218,52
cassel,Rhizophoraceae,Cassipourea,elliptica,Cassipourea elliptica,Cassipourea elliptica,0.66,0.003657,24,75.4,0.032,0.0169,80,understory,bisex,109,2.354077,3.016974,1009
hassfl,Salicaceae,Hasseltia,floribunda,Hasseltia floribunda,Hasseltia floribunda,0.565,0.01123,15,47.3,0.038,0.0117,80,understory,bisex,285,5.300216,5.942715,690
ingaqu,Fabaceae-mimosoideae,Inga,nobilis,Inga nobilis quaternata,Inga nobilis,0.645,0.17258,15.2,60.9,0.038,0.0113,80,understory,bisex,117,1.135612,1.877629,763
ingaum,Fabaceae-mimosoideae,Inga,umbellifera,Inga umbellifera,Inga umbellifera,0.665,NA,12.7,56.7,0.033,NA,80,understory,bisex,38,0.284463,1.274583,1013
laetth,Salicaceae,Laetia,thamnia,Laetia thamnia,Laetia thamnia,0.727,0.004359,14.5,65,0.04,NA,80,understory,bisex,49,0.438171,0.921772,544
macrgl,Rubiaceae,Macrocnemum,roseum,Macrocnemum roseum,Macrocnemum roseum,NA,NA,NA,NA,NA,NA,80,understory,bisex,27,1.650539,1.726568,106
swars1,Fabaceae-papilionoideae,Swartzia,simplex,Swartzia simplex grandiflora,Swartzia simplex grandiflora,0.773,NA,17.1,76.3,0.023,0.0068,80,understory,bisex,278,5.460648,6.96089,2823
caseco,Salicaceae,Casearia,commersoniana,Casearia commersoniana,Casearia commersoniana,NA,NA,NA,NA,NA,NA,100,understory,bisex,3,0.030299,0.063092,21
